EMB1,Monday/Thursday- Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB2,Monday/Thursday- Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB3,Monday/Thursday- Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB4,Monday/Thursday- Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB5,Tuesday/Friday- Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB6,Tuesday/Friday- Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB7,Tuesday/Friday- Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB8,Tuesday/Friday- Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB9,Wednesday/Saturday- Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB10,Wednesday/Saturday- Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB11,Wednesday/Saturday- Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB12,Wednesday/Saturday- Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB13,Sunday- Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB14,Sunday- Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB15,Sunday- Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB16,Sunday- Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRF1,MON Archer Training Ground- Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,196.2,,,,,,,,,,,,93,42.6,268.4,199.6,,,,,
TRF2,MON Archer Training Ground- Int,,,,,,,,,,,,,,,,,,,135.4,,,,3126.1,,,,190.9,,,,,,,,,,,,251.2,66,1575.6,134.2,,,,,
TRF3,MON Archer Training Ground- Adv,,,,,,505.4,,,,,,,,,,,,,210,,,,347.1,,,,231,,,,,,,,,,,,254.8,,,152.4,,,,,
TRF4,MON Archer Training Ground- Exp,,,,,,317.4,,,,,,,,,,,,,213.6,,,,200.4,,,,209.2,,,,,,,,,,,,223.1,,,166.2,,,,,
TRF5,TUE Lancer Training Ground- Nov,,,,,,,,,,,,,,,,,,,,,,,,,,204.9,,,,,,,,,,,,,79.8,37.9,,182.8,,,,,
TRF6,TUE Lancer Training Ground- Int,,,,,,,,,,,,,,,,,,,161.9,,,,,,,194.8,,,,,,,,,,,,,255.7,106.8,,132.5,,,,,
TRF7,TUE Lancer Training Ground- Adv,,,,,484.4,,,,,,,,,,,,,,156.6,,,,361.4,,,170.2,,,,,,,,,,,,,192.9,,,145.9,,,,,
TRF8,TUE Lancer Training Ground- Exp,,,,,313.5,,,,,,,,,,,,,,156.3,,,,355.2,,,188.5,,,,,,,,,,,,,209,,,170.2,,,,,
TRF9,WED Berserker Training Ground- Nov,,,,,,,,,,,,,,,,,,,,,192.9,,,,,,,,,,,,,,,,,,86.4,,,271.6,,,,,
TRF10,WED Berserker Training Ground- Int,678.2,,,,,,,,,,,,,,,,,,,,168.7,,,,,,,,,,,,,,,,,,304.4,,,107.4,,,,,
TRF11,WED Berserker Training Ground- Adv,389.3,,,,,,,,,,,,,,,,,,,,228.2,,,,,,,,,,,,,,,,,,213.5,,,149.1,,,,,
TRF12,WED Berserker Training Ground- Exp,491.9,,,,,,,,,,,,,,,,,,,,252.6,,,,,,,,,,,,,,,,,,174.2,,,170.9,,,,,
TRF13,THU Rider Training Ground- Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,188.7,,,,,,,,,,,,,,62.3,235.1,,,,,
TRF14,THU Rider Training Ground- Int,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7,,,,,,,,,,,,,,76,132.8,,,,,
TRF15,THU Rider Training Ground- Adv,,,1016,,,,,,,,,,,,,,,,,,,,,,,,204.5,,,,,,,,,,,,,,66,233,,,,,
TRF16,THU Rider Training Ground- Exp,,,544.9,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,,,,,,,85.8,242.7,,,,,
TRF17,FRI Caster Training Ground- Nov,,,,,,,,,,,,,,,,,,,,,,130.8,,,220.2,,,,,,,,,,,,,,,,,74.7,,,,,
TRF18,FRI Caster Training Ground- Int,,,,,,,,,,,,,,,,,,,,,,140.6,,,206.3,,,,,,,,,,,,,,,,,97.8,,,,,
TRF19,FRI Caster Training Ground- Adv,,720.2,,,,,,,,,,,,,,,,,,,,131.4,,,186,,,,,,,,,,,,,,,,,145,,,,,
TRF20,FRI Caster Training Ground- Exp,,639.4,,,,,,,,,,,,,,,,,,,,161.1,,,194.4,,,,,,,,,,,,,,,,,163.6,,,,,
TRF21,SAT Assassin Training Ground- Nov,,,,,,,,,,,,,,,,,,,,324.5,,,,115.9,,,,,,,,,,,,,,,,,75.7,84.3,,,,,
TRF22,SAT Assassin Training Ground- Int,,,,,,,,,,,,,,,,,,,233.8,782.1,,,,210,,,,,,,,,,,,,,,,,113.4,122.6,,,,,
TRF23,SAT Assassin Training Ground- Adv,,,,,,,520.2,,,,,,,,,,,,186.4,177.2,,,,185.1,,,,,,,,,,,,,,,,,289.6,223.9,,,,,
TRF24,SAT Assassin Training Ground- Exp,,,,,,,332.8,,,,,,,,,,,,126.8,215.1,,,,4463.8,,,,,,,,,,,,,,,,,281.1,210.5,,,,,
TRF25,SUN Saber Training Ground- Nov,,,,,,,,,,,,,,,,,,,,,,,,220.8,,,,,211.8,,,,,,,,,,109.3,42.6,276.9,199.4,,,,,
TRF26,SUN Saber Training Ground- Int,,,,,,,,,,,,,,,,,,,155.5,,,,,217.9,,,,,185.4,,,,,,,,,,185.8,,,125.4,,,,,
TRF27,SUN Saber Training Ground- Adv,,,,779.8,,,,,,,,,,,,,,,124.5,,,,170.8,203.5,,,,,193.8,,,,,,,,,,218.3,,,149.8,,,,,
TRF28,SUN Saber Training Ground- Exp,,,,499.8,,,,,,,,,,,,,,,149.7,,,,377.2,196.5,,,,,195,,,,,,,,,,212.6,,,178.1,,,,,
FUY1,Unknown Coordinates X-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,,,
FUY2,Unknown Coordinates X-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,,,
FUY3,Unknown Coordinates X-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,,,,,,
FUY4,Unknown Coordinates X-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,,,
FUY5,Unknown Coordinates X-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,,114.6,,,,,
FUY6,Unknown Coordinates X-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,75.3,,,,,
FUY7,Unknown Coordinates X-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,
FUY8,Mobile Coordinate No.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3,76.4,,,,,
ORL1,Domremy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,,,
ORL2,Vaucouleurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.3,83.2,,,,,,
ORL3,La Charite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.5,,59.6,,,,,,
ORL4,Jura,,,,,,,,,,,,,,,,,,,134.2,,,,,,,,,,,,,,,,,,,,,,131.2,89,,,,,
ORL5,Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,105.9,,,,,
ORL6,Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,,,
ORL7,Thiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1,78.7,,,,,
ORL8,Bordeaux,,,,,,,,,,,,,,,,,,,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL9,Orleans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,76.6,92.9,,,,,
